iter	RMSE
0	3876.690579
1	3778.874941
2	3684.527275
3	3593.210587
4	3504.762655
5	3419.264124
6	3337.246539
7	3256.975081
8	3179.851283
9	3105.213115
10	3032.899713
11	2963.440556
12	2897.603323
13	2833.38912
14	2771.185637
15	2711.310236
16	2654.020872
17	2598.650396
18	2545.148771
19	2494.685421
20	2445.392608
21	2397.732795
22	2352.050382
23	2307.722026
24	2266.018653
25	2226.328563
26	2186.922247
27	2149.381873
28	2113.453072
29	2078.597097
30	2045.604738
31	2014.078686
32	1983.936831
33	1955.018092
34	1927.33873
35	1901.082746
36	1875.899939
37	1851.430344
38	1828.635983
39	1806.421422
40	1785.678139
41	1765.18033
42	1745.4492
43	1727.086433
44	1709.908814
45	1693.219957
46	1677.565357
47	1662.363836
48	1647.634509
49	1633.893087
50	1620.489327
51	1607.700559
52	1595.174109
53	1584.06679
54	1573.133952
55	1562.797527
56	1552.989014
57	1543.74676
58	1535.02056
59	1526.709909
60	1518.523296
61	1510.91005
62	1503.697057
63	1496.97874
64	1490.297741
65	1484.071273
66	1478.071544
67	1472.178744
68	1466.892652
69	1461.805718
70	1456.91694
71	1452.300798
72	1448.025089
73	1443.788089
74	1439.998931
75	1436.034718
76	1432.202666
77	1428.665035
78	1425.360637
79	1422.163956
80	1419.214803
81	1416.357421
82	1413.889159
83	1411.51499
84	1409.026078
85	1406.863029
86	1404.705825
87	1402.621507
88	1400.803473
89	1398.880809
90	1396.96028
91	1395.349484
92	1393.672875
93	1392.014446
94	1390.615407
95	1389.122535
96	1387.700645
97	1386.492147
98	1385.091088
99	1383.854399
100	1382.689614
101	1381.603224
102	1380.557309
103	1379.499823
104	1378.502069
105	1377.674614
106	1376.77155
107	1375.974662
108	1375.081766
109	1374.341982
110	1373.548304
111	1372.835588
112	1372.017402
113	1371.274163
114	1370.585158
115	1370.014322
116	1369.445948
117	1368.827377
118	1368.183291
119	1367.628861
120	1367.066385
121	1366.597936
122	1366.082398
123	1365.634053
124	1365.167187
125	1364.803568
126	1364.375264
127	1363.927244
128	1363.451311
129	1363.038107
130	1362.651066
131	1362.305332
132	1361.985921
133	1361.653529
134	1361.362377
135	1361.043137
136	1360.738959
137	1360.391214
138	1360.011579
139	1359.703044
140	1359.430231
141	1359.156128
142	1358.924995
143	1358.690949
144	1358.490004
145	1358.188869
146	1357.914182
147	1357.649643
148	1357.452765
149	1357.251326
150	1357.023286
151	1356.771055
152	1356.578837
153	1356.356002
154	1356.147605
155	1355.930078
156	1355.65686
157	1355.448062
158	1355.247182
159	1355.000895
160	1354.834151
161	1354.662522
162	1354.526056
163	1354.357294
164	1354.154521
165	1353.945835
166	1353.825688
167	1353.623102
168	1353.468836
169	1353.203049
170	1353.100692
171	1352.917733
172	1352.677461
173	1352.556189
174	1352.358521
175	1352.213285
176	1352.022899
177	1351.844141
178	1351.645444
179	1351.525397
180	1351.313516
181	1351.190874
182	1350.976843
183	1350.840125
184	1350.724152
185	1350.619704
186	1350.446211
187	1350.333871
188	1350.183416
189	1350.031233
190	1349.905304
191	1349.722724
192	1349.594507
193	1349.440033
194	1349.296128
195	1349.163167
196	1349.039537
197	1348.972723
198	1348.817071
199	1348.636145
200	1348.585525
201	1348.453206
202	1348.375118
203	1348.234636
204	1348.113995
205	1347.948954
206	1347.730126
207	1347.595203
208	1347.438913
209	1347.298713
210	1347.200255
211	1347.044817
212	1346.947287
213	1346.822756
214	1346.700695
215	1346.594033
216	1346.3493
217	1346.256614
218	1346.08445
219	1345.8772
220	1345.737892
221	1345.616863
222	1345.485643
223	1345.386006
224	1345.242945
225	1345.113293
226	1344.955723
227	1344.852695
228	1344.736038
229	1344.664438
230	1344.566017
231	1344.402958
232	1344.323357
233	1344.228947
234	1344.087309
235	1343.979277
236	1343.824063
237	1343.727066
238	1343.615623
239	1343.498735
240	1343.391309
241	1343.277344
242	1343.189569
243	1343.114792
244	1343.032327
245	1342.960913
246	1342.824037
247	1342.768917
248	1342.734555
249	1342.605814
250	1342.530062
251	1342.412939
252	1342.328038
253	1342.23819
254	1342.156401
255	1342.080937
256	1342.04235
257	1342.007761
258	1341.902785
259	1341.781027
260	1341.681514
261	1341.584771
262	1341.536516
263	1341.511583
264	1341.478502
265	1341.444557
266	1341.332297
267	1341.208146
268	1341.112704
269	1341.001503
270	1340.930128
271	1340.756386
272	1340.673728
273	1340.597817
274	1340.500352
275	1340.328546
276	1340.243184
277	1340.159498
278	1340.049066
279	1339.889479
280	1339.794685
281	1339.614143
282	1339.54074
283	1339.474146
284	1339.373308
285	1339.265041
286	1339.179628
287	1339.157905
288	1339.06352
289	1338.997104
290	1338.890999
291	1338.810125
292	1338.674939
293	1338.590844
294	1338.48132
295	1338.435966
296	1338.324021
297	1338.252548
298	1338.206782
299	1338.085439
300	1338.017307
301	1337.866138
302	1337.750227
303	1337.561055
304	1337.475861
305	1337.350176
306	1337.329807
307	1337.148992
308	1337.059084
309	1336.903688
310	1336.741659
311	1336.699253
312	1336.659541
313	1336.493755
314	1336.46511
315	1336.437054
316	1336.334749
317	1336.247603
318	1336.180535
319	1336.116347
320	1336.024745
321	1335.864139
322	1335.697466
323	1335.650029
324	1335.60954
325	1335.522194
326	1335.414886
327	1335.294301
328	1335.194261
329	1335.137712
330	1335.073265
331	1335.003067
332	1334.83931
333	1334.691314
334	1334.628054
335	1334.597642
336	1334.442713
337	1334.293313
338	1334.156877
339	1333.984708
340	1333.908168
341	1333.861854
342	1333.753035
343	1333.705017
344	1333.67828
345	1333.429541
346	1333.342836
347	1333.192168
348	1333.129899
349	1333.031165
350	1332.963823
351	1332.801481
352	1332.727771
353	1332.652669
354	1332.465141
355	1332.384877
356	1332.311507
357	1332.148338
358	1332.0428
359	1331.982996
360	1331.901829
361	1331.775317
362	1331.741355
363	1331.688786
364	1331.603849
365	1331.538826
366	1331.421313
367	1331.22959
368	1331.139959
369	1331.033289
370	1330.974001
371	1330.769407
372	1330.658655
373	1330.539788
374	1330.478461
375	1330.41039
376	1330.274101
377	1330.176398
378	1330.105136
379	1330.011027
380	1329.927233
381	1329.874171
382	1329.779083
383	1329.702128
384	1329.64757
385	1329.526529
386	1329.466018
387	1329.371281
388	1329.248602
389	1329.161693
390	1329.067098
391	1329.020171
392	1328.926237
393	1328.783117
394	1328.679388
395	1328.614146
396	1328.505741
397	1328.32697
398	1328.273914
399	1328.20671
400	1328.067084
401	1328.032588
402	1327.92275
403	1327.799021
404	1327.687168
405	1327.649368
406	1327.532138
407	1327.342172
408	1327.08167
409	1327.007841
410	1326.942276
411	1326.873642
412	1326.83306
413	1326.732785
414	1326.657072
415	1326.576964
416	1326.464884
417	1326.347808
418	1326.25379
419	1326.117427
420	1326.008192
421	1325.960956
422	1325.793113
423	1325.715513
424	1325.625291
425	1325.536294
426	1325.492318
427	1325.415054
428	1325.369972
429	1325.331726
430	1325.267911
431	1325.231757
432	1325.185778
433	1324.995946
434	1324.960523
435	1324.84957
436	1324.814728
437	1324.661633
438	1324.624824
439	1324.486651
440	1324.347479
441	1324.26707
442	1324.195215
443	1324.037856
444	1323.977254
445	1323.868988
446	1323.842377
447	1323.659793
448	1323.517963
449	1323.408771
450	1323.360856
451	1323.263327
452	1323.194662
453	1323.071637
454	1322.983993
455	1322.796186
456	1322.762799
457	1322.596227
458	1322.53717
459	1322.496752
460	1322.321222
461	1322.234201
462	1322.19189
463	1322.16247
464	1322.00272
465	1321.933265
466	1321.904227
467	1321.881383
468	1321.788967
469	1321.744447
470	1321.648537
471	1321.628744
472	1321.507395
473	1321.437105
474	1321.332246
475	1321.146234
476	1320.985276
477	1320.861495
478	1320.683582
479	1320.481918
480	1320.452138
481	1320.367561
482	1320.341113
483	1320.249897
484	1320.220801
485	1320.125749
486	1319.98322
487	1319.952637
488	1319.839194
489	1319.814418
490	1319.719994
491	1319.667292
492	1319.63567
493	1319.515996
494	1319.461522
495	1319.32662
496	1319.263523
497	1319.134843
498	1319.007493
499	1318.990082
500	1318.931726
501	1318.827391
502	1318.636642
503	1318.609456
504	1318.459666
505	1318.433366
506	1318.411419
507	1318.289454
508	1318.155079
509	1318.100486
510	1318.054146
511	1317.935601
512	1317.885693
513	1317.79058
514	1317.649747
515	1317.558233
516	1317.541977
517	1317.453909
518	1317.367294
519	1317.321856
520	1317.297489
521	1317.273815
522	1317.081146
523	1317.038304
524	1316.83806
525	1316.778822
526	1316.650498
527	1316.630773
528	1316.55166
529	1316.529222
530	1316.419213
531	1316.39065
532	1316.257537
533	1316.155312
534	1316.055137
535	1315.932936
536	1315.777404
537	1315.711816
538	1315.650081
539	1315.628464
540	1315.548952
541	1315.47958
542	1315.464763
543	1315.41588
544	1315.290865
545	1315.190581
546	1315.057782
547	1314.968275
548	1314.942681
549	1314.833322
550	1314.767596
551	1314.734089
552	1314.577506
553	1314.516441
554	1314.472671
555	1314.446507
556	1314.328542
557	1314.302958
558	1314.161923
559	1314.098514
560	1314.031716
561	1313.895266
562	1313.870605
563	1313.824717
564	1313.72339
565	1313.704924
566	1313.486006
567	1313.383333
568	1313.359608
569	1313.305262
570	1313.132783
571	1313.068316
572	1313.041805
573	1312.90118
574	1312.844617
575	1312.750442
576	1312.676199
577	1312.600703
578	1312.551662
579	1312.480888
580	1312.437322
581	1312.398409
582	1312.340093
583	1312.321448
584	1312.30894
585	1312.184312
586	1312.112629
587	1311.971501
588	1311.953727
589	1311.79057
590	1311.768384
591	1311.649225
592	1311.521976
593	1311.504789
594	1311.488138
595	1311.356719
596	1311.231428
597	1311.024503
598	1310.877984
599	1310.847575
600	1310.69323
601	1310.579511
602	1310.469867
603	1310.448405
604	1310.29773
605	1310.226371
606	1310.198013
607	1310.14825
608	1310.065234
609	1309.988072
610	1309.837645
611	1309.78267
612	1309.630367
613	1309.502781
614	1309.411767
615	1309.373615
616	1309.196321
617	1309.175469
618	1309.130427
619	1309.110175
620	1309.059283
621	1309.037328
622	1308.990537
623	1308.94234
624	1308.921439
625	1308.79396
626	1308.774556
627	1308.687931
628	1308.581692
629	1308.559245
630	1308.421515
631	1308.385543
632	1308.341055
633	1308.319468
634	1308.184318
635	1308.144184
636	1307.986005
637	1307.885435
638	1307.766403
639	1307.656539
640	1307.61217
641	1307.569975
642	1307.414599
643	1307.350304
644	1307.261739
645	1307.178252
646	1307.0282
647	1307.007445
648	1306.979584
649	1306.929314
650	1306.832443
651	1306.715433
652	1306.614857
653	1306.538884
654	1306.506266
655	1306.34839
656	1306.227017
657	1306.18446
658	1306.03755
659	1305.908772
660	1305.84884
661	1305.791752
662	1305.671491
663	1305.66048
664	1305.620105
665	1305.600781
666	1305.442978
