iter	Passed	Remaining
0	4	4704
1	11	5965
2	20	6807
3	29	7270
4	38	7565
5	45	7509
6	50	7182
7	55	6931
8	61	6796
9	69	6855
10	76	6891
11	86	7118
12	96	7348
13	107	7544
14	115	7592
15	124	7627
16	135	7815
17	144	7897
18	152	7868
19	160	7872
20	170	7930
21	180	8009
22	188	8024
23	198	8079
24	207	8108
25	215	8077
26	225	8121
27	234	8139
28	242	8109
29	252	8154
30	260	8144
31	268	8129
32	277	8126
33	287	8160
34	295	8134
35	303	8124
36	313	8157
37	322	8156
38	329	8130
39	339	8141
40	347	8139
41	357	8160
42	365	8137
43	374	8130
44	382	8125
45	391	8121
46	402	8152
47	410	8139
48	419	8138
49	427	8129
50	436	8127
51	444	8105
52	454	8127
53	463	8128
54	473	8137
55	482	8130
56	491	8133
57	500	8131
58	509	8125
59	519	8131
60	529	8146
61	538	8153
62	548	8163
63	559	8182
64	568	8182
65	577	8167
66	585	8158
67	594	8141
68	603	8141
69	613	8146
70	621	8132
71	630	8123
72	641	8140
73	651	8150
74	660	8143
75	670	8149
76	679	8146
77	689	8154
78	700	8169
79	708	8145
80	714	8103
81	720	8068
82	727	8037
83	737	8044
84	745	8028
85	755	8024
86	763	8009
87	772	8007
88	780	7989
89	792	8015
90	803	8022
91	811	8013
92	822	8023
93	833	8036
94	843	8036
95	854	8044
96	864	8049
97	873	8035
98	882	8031
99	892	8034
100	902	8028
101	911	8027
102	920	8012
103	929	8005
104	937	7991
105	948	7996
106	957	7986
107	964	7963
108	974	7969
109	983	7956
110	991	7937
111	1000	7930
112	1010	7934
113	1020	7930
114	1025	7893
115	1030	7855
116	1039	7846
117	1048	7836
118	1053	7796
119	1057	7755
120	1063	7729
121	1074	7732
122	1081	7710
123	1089	7699
124	1099	7699
125	1107	7682
126	1112	7647
127	1117	7610
128	1124	7592
129	1135	7596
130	1139	7561
131	1144	7526
132	1149	7491
133	1158	7488
134	1166	7475
135	1171	7440
136	1175	7407
137	1183	7392
138	1192	7387
139	1197	7358
140	1201	7322
141	1206	7288
142	1216	7289
